timestamp,miner_name,miner_ip,status,hashrate_gh,hashrate_th,expected_hashrate_gh,expected_hashrate_th,hashrate_efficiency_pct,power_w,efficiency_jth,temperature_c,vr_temperature_c,fan_speed_rpm,core_voltage_actual_v,core_voltage_set_v,input_voltage_v,frequency_mhz,best_diff,session_diff,accepted_shares,rejected_shares,uptime_s,wifi_rssi,pool_url,worker_name,asic_model,board_version,firmware_version
2025-06-18T15:36:54.533654,Gamma-1,192.168.1.45,ONLINE,1155.7177512845553,1.1557177512845553,1054.0,1.054,109.65064053933162,15.541900634765625,13.447834142454884,60.125,53,4262,1.014,1.038,5.125,527,0,0,2346,13,9559,-71,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.8.0
2025-06-18T15:36:54.534662,Gamma-2,192.168.1.46,ONLINE,1099.5114364370884,1.0995114364370884,1054.0,1.054,104.31797309649795,15.610535621643066,14.197701910430531,59.875,53,3763,0.998,1.032,5.0859375,527,0,0,1758,12,7533,-75,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.8.0
2025-06-18T15:36:54.534662,Gamma-3,192.168.1.47,ONLINE,1201.0232224020735,1.2010232224020736,1072.0,1.072,112.03574835840237,14.577056884765625,12.137198193063396,60.125,56,2819,1.012,1.041,5.140625,536,0,0,1711,12,8092,-75,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.8.0
2025-06-18T15:37:24.535471,Gamma-1,192.168.1.45,ONLINE,1160.1271351045805,1.1601271351045805,1054.0,1.054,110.06898815033969,15.541900634765625,13.39672193200152,59.875,53,3950,1.01,1.038,5.125,527,0,0,2354,13,9589,-72,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.8.0
2025-06-18T15:37:24.535471,Gamma-2,192.168.1.46,ONLINE,1052.52738448605,1.05252738448605,1054.0,1.054,99.86028315806928,15.578429222106934,14.800972831423186,59.875,53,3527,1.0,1.032,5.0859375,527,0,0,1760,12,7563,-75,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.8.0
2025-06-18T15:37:24.537475,Gamma-3,192.168.1.47,ONLINE,1217.81583851711,1.21781583851711,1072.0,1.072,113.60222374226771,14.577056884765625,11.969836837165442,60,56,2723,1.013,1.041,5.140625,536,0,0,1720,12,8122,-76,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.8.0
2025-06-18T15:37:54.542610,Gamma-1,192.168.1.45,ONLINE,1231.4387301257316,1.2314387301257317,1000.0,1.0,123.14387301257317,14.727783203125,11.959818091494713,59.625,52,3377,0.995,1.02,5.140625,500,0,0,2367,13,9619,-73,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.8.0
2025-06-18T15:37:54.543612,Gamma-2,192.168.1.46,ONLINE,1028.3066614513832,1.0283066614513832,1000.0,1.0,102.83066614513831,14.87060546875,14.461255602255049,59.625,52,3134,0.99,1.02,5.1015625,500,0,0,1764,12,7593,-74,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.8.0
2025-06-18T15:37:54.544611,Gamma-3,192.168.1.47,ONLINE,1114.3860706263185,1.1143860706263184,1000.0,1.0,111.43860706263185,13.601715087890625,12.205568111817884,59.5,55,2103,0.996,1.02,5.15625,500,0,0,1723,12,8152,-74,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.8.0
2025-06-18T15:38:24.543620,Gamma-1,192.168.1.45,ONLINE,1137.798965821072,1.137798965821072,1000.0,1.0,113.77989658210721,14.727783203125,12.94409965691695,59.625,52,4118,0.992,1.02,5.140625,500,0,0,2378,13,9649,-71,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe1,BM1370,601,v2.8.0
2025-06-18T15:38:24.544622,Gamma-2,192.168.1.46,ONLINE,1028.0603606912318,1.0280603606912317,1010.0,1.01,101.78815452388434,14.9658203125,14.55733620780545,60,52,3351,0.994,1.02,5.09375,505,0,0,1774,12,7623,-75,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe2,BM1370,601,v2.8.0
2025-06-18T15:38:24.545623,Gamma-3,192.168.1.47,ONLINE,1062.283178488964,1.0622831784889641,1000.0,1.0,106.22831784889641,13.601715087890625,12.804227124483202,59.875,55,2344,0.996,1.02,5.15625,500,0,0,1726,12,8182,-76,taborsky.de,3Aas8yBKTY3wA5dAknm62bNMbvR1qd4wgM.bitaxe3,BM1370,601,v2.8.0
